restaurant_name,rating,average_price,average _delivery_time,south_indian_or_not,north_indian_or_not,fast_food_or_not,street_food,biryani_or_not,bakery_or_not,,City
Aasife Biriyani,4.2,200,46,1,1,0,0,1,0,,Ahmedabad
Aasife Biryani,3.7,100,20,0,0,0,0,1,0,,Ahmedabad
Aasing's Kitchen,4.4,300,48,0,0,1,0,0,0,,Ahmedabad
Aasman,4.2,100,26,0,1,1,0,0,0,,Ahmedabad
Aasra Cafe Star,3.9,200,42,0,1,0,0,1,0,,Ahmedabad
Aastha Bengali Mess,4.1,100,43,0,1,0,0,0,0,,Ahmedabad
Aaswad,4.2,50,33,1,0,1,1,0,0,,Ahmedabad
Aaswad Family Restaurant,3.3,100,26,0,1,0,0,0,0,,Ahmedabad
Aaswad Family Restaurant,3.6,200,36,0,1,0,0,0,0,,Ahmedabad
Aaswad Lunch & Dinner,4.1,100,24,1,1,0,0,1,0,,Ahmedabad
Aatha Kadai,3.9,50,25,1,0,0,0,0,0,,Ahmedabad
Aathale's,4.3,200,31,0,1,1,0,0,0,,Ahmedabad
Aathira's Kitchen,4.2,150,29,0,1,1,0,0,0,,Ahmedabad
Aatho Kadai,3.3,150,31,0,0,0,0,0,0,,Ahmedabad
Aayan's Kitchen,4.1,100,37,0,1,0,0,0,0,,Ahmedabad
Aayushi's Panificio,4.1,200,42,0,0,1,0,0,0,,Ahmedabad
Aazad,4.1,200,34,0,1,0,1,0,0,,Ahmedabad
Aazebo,4.2,50,57,0,0,0,0,0,0,,Ahmedabad
Ab Chai Pe Charcha,3.2,50,25,0,0,1,1,0,0,,Ahmedabad
Abar Baithak,4,250,48,0,0,1,0,0,0,,Ahmedabad
Abar Khabo,3.5,100,54,0,1,0,0,1,0,,Ahmedabad
Abar Khaboo,4.1,500,34,0,1,0,0,1,0,,Ahmedabad
Abar Khaboo Roll Corner,4.1,150,42,0,1,0,0,0,0,,Ahmedabad
ABB - Andrea's Bar & Brasserie,4.3,100,35,0,0,0,0,0,0,,Ahmedabad
Abba Da Dhaba,3.5,150,31,0,1,0,1,1,0,,Ahmedabad
Abba's Dastarkhwaan,4,150,38,0,1,1,0,1,0,,Ahmedabad
Abbasi Chicken Crunchy Bites,4.1,200,33,0,0,1,0,0,0,,Ahmedabad
Abbott's Cafe N Bistro,4.3,200,35,0,0,1,0,0,0,,Ahmedabad
Abcos Food Plaza,4.5,250,50,0,1,0,0,1,0,,Ahmedabad
Abdul Moradabadi Chicken Corner,3.3,100,23,0,1,0,0,1,0,,Ahmedabad
Abdullah Biryani House,3.6,150,33,0,1,0,0,1,0,,Ahmedabad
Abhi Ruchilu,3.5,100,29,0,0,0,0,1,0,,Ahmedabad
Abhiayush Food Hub,3.9,200,60,0,0,0,0,0,0,,Ahmedabad
Abhiman Pure Veg,4.3,300,34,1,1,1,0,0,0,,Ahmedabad
Abhinandan,3.9,200,34,0,1,0,1,0,0,,Ahmedabad
Abhinandan Restaurant,4,150,29,0,1,1,0,0,0,,Ahmedabad
Abhinandan Veg Restaurant,4.2,150,32,0,1,0,0,0,0,,Ahmedabad
Abhiruchi Gruh Udyog,4.4,100,37,0,0,0,0,0,0,,Ahmedabad
Abhiruchi Swaghruha Foods,4.5,350,48,0,0,0,0,0,0,,Ahmedabad
Abhiruchi Veg Parcel Center,4.1,300,27,0,1,0,0,0,0,,Ahmedabad
Abhi's Kitchen,4,100,39,1,1,0,0,0,0,,Ahmedabad
Abhi's Kitchen & Foods,4.1,150,36,1,1,0,0,0,0,,Ahmedabad
Abhi's Kitchen Club,4.1,200,28,0,1,0,1,0,0,,Ahmedabad
Abhi's Sugran,3.8,250,30,0,0,0,1,0,0,,Ahmedabad
Abhishek Bhel Puri,4.2,150,31,0,0,0,1,0,0,,Ahmedabad
Abhishek Chinese Corner,4.1,100,17,0,0,1,1,0,0,,Ahmedabad
