restaurant_name,rating,average_price,average _delivery_time,south_indian_or_not,north_indian_or_not,fast_food_or_not,street_food,biryani_or_not,bakery_or_not,,City
Delhi Ke Mashoor Nagpal's Chole Bhature,4.1,100,19,0,1,0,0,0,0,,Guwahati
Delhi Kitchen,3.3,150,41,0,1,1,0,0,0,,Guwahati
Delhi Kitchen Express,3.4,100,26,1,0,0,0,0,0,,Guwahati
Delhi Kitchen Veg & Non Veg,3.8,250,27,0,1,0,0,1,0,,Guwahati
Delhi Live Kitchen,4.1,150,36,0,1,1,0,0,0,,Guwahati
Delhi Malai Chaap,4.1,150,36,0,1,0,0,0,0,,Guwahati
Delhi Masala,3.6,150,33,0,1,0,1,0,0,,Guwahati
Delhi Mess,3.5,200,27,0,1,0,0,0,0,,Guwahati
Delhi Mess,4.1,100,32,0,1,0,0,0,0,,Guwahati
Delhi Mess,4.3,100,48,0,1,0,0,0,0,,Guwahati
Delhi Mithai Wala,4.4,250,43,0,0,0,1,0,0,,Guwahati
Delhi Mithaiwala,4.1,300,53,0,0,0,1,0,0,,Guwahati
Delhi Mughlai,3.5,150,15,0,0,0,0,1,0,,Guwahati
Delhi Mughlai Corner,4,200,40,0,1,0,0,0,0,,Guwahati
Delhi Punjabi Dhaba,3.5,150,46,0,1,0,0,0,0,,Guwahati
Delhi Restaurant & Chaat,4,300,51,0,1,0,0,0,0,,Guwahati
Delhi Shahi Biryani Cafe,4.1,150,46,0,1,0,0,1,0,,Guwahati
Delhi Special Chhole Bhature,4,300,25,0,0,0,1,0,0,,Guwahati
Delhi Special Paranthe Wali Gali,3.7,150,22,0,1,0,0,0,0,,Guwahati
Delhi Spice Roll Hut,4.3,300,29,0,1,0,0,1,0,,Guwahati
Delhi Streets,4.2,100,21,0,1,1,0,0,0,,Guwahati
Delhi Tandoori Chaap,4,250,34,0,1,0,0,0,0,,Guwahati
Delhi Veg Champ,3.5,200,32,0,1,1,0,0,0,,Guwahati
Delhi Wala Zaika,4.3,150,24,0,1,0,0,0,0,,Guwahati
Delhi Wraps N Momos,4,100,34,0,1,0,0,0,0,,Guwahati
Delhi Zaika,2.9,150,60,0,1,1,0,0,0,,Guwahati
Delhi Zaika,3.2,150,34,0,1,0,0,1,0,,Guwahati
Delhi Zaika,3.6,100,47,0,1,0,0,1,0,,Guwahati
Delhi Zaika,3.7,150,36,0,1,0,0,1,0,,Guwahati
Delhi Zaika Kathi Rolls,4.2,100,23,0,1,0,0,0,0,,Guwahati
Delhi Zayka Restaurant,3.6,50,41,0,1,1,0,0,0,,Guwahati
Delhi's Chole Kulche,4,200,30,0,1,1,1,0,0,,Guwahati
Delhiwala Sweet House,4.1,150,45,0,0,0,0,0,0,,Guwahati
Deli Bakes And Grill,4,250,40,1,0,1,1,0,0,,Guwahati
Deli Bread,4.1,100,41,0,1,0,0,1,0,,Guwahati
Deli Cafe - Empires Hotel,4.3,250,34,0,0,0,0,0,1,,Guwahati
Deli FC,4,150,31,0,0,1,0,0,0,,Guwahati
Delicacy,4.1,200,39,0,0,0,0,0,0,,Guwahati
Deliciae By Bunty Mahajan,4.5,100,35,0,0,0,0,0,1,,Guwahati
Delicious,3.7,150,36,0,0,0,0,0,1,,Guwahati
Delicious 29 Pizza,4.2,200,52,0,0,1,0,0,0,,Guwahati
Delicious Bakery,3.5,50,17,0,0,0,0,0,1,,Guwahati
Delicious Bites,3.4,300,24,0,0,1,0,0,0,,Guwahati
Delicious Cake Corner,3.6,300,30,0,0,0,0,0,1,,Guwahati
Delicious China Hut,3.6,50,28,0,0,0,0,1,0,,Guwahati
Delicious Chocolates,4,100,37,0,0,0,0,0,0,,Guwahati
Delicious Deli - The Gourmet Home Kitchen,4,150,67,0,1,1,0,0,0,,Guwahati
Delicious Fast Food,3.8,100,30,0,1,1,1,0,0,,Guwahati
Delicious Food Planet,3.6,350,46,0,1,0,0,0,0,,Guwahati
Delicious Frankie And Vadapav,3.6,100,31,1,0,0,1,0,0,,Guwahati
Delicious Pav Bhaji,4.1,100,32,0,0,0,1,0,0,,Guwahati
Delicious Pizza,4,200,36,0,0,0,0,0,0,,Guwahati
Delicious Pizza,4.1,150,53,0,0,1,0,0,0,,Guwahati
Delicious Pizza,4.2,150,29,0,0,1,0,0,0,,Guwahati
Delicious Pizza & Multi Cuisine Restaurant,4.1,150,34,0,1,1,0,0,0,,Guwahati
Delicious Punjabees Food,3.2,150,31,0,1,1,0,0,0,,Guwahati
Delicious Restaurant,3.6,200,48,1,1,1,1,0,0,,Guwahati
Delicious Restaurant,3.7,150,27,0,1,0,0,1,0,,Guwahati
Delicious Restaurant,4.1,100,40,0,1,0,0,0,0,,Guwahati
Delight,4,150,32,1,0,1,1,0,0,,Guwahati
Delight Bakers,3.7,150,14,0,0,0,0,0,1,,Guwahati
Delight Cake Baker’s,3.9,300,37,0,0,0,0,0,1,,Guwahati
Delight Cake Treat,4.4,400,52,0,0,0,0,0,1,,Guwahati
Delight Delicious,4.3,100,55,0,0,1,1,0,1,,Guwahati
Delight Kitchen,4.1,150,36,0,1,0,0,0,0,,Guwahati
Delight Pastry Shop,4.3,150,39,0,0,1,0,1,1,,Guwahati
Delight Pizza,2.9,100,53,0,1,0,0,0,0,,Guwahati
Delight Pizza,4,200,25,0,0,0,0,0,0,,Guwahati
Delight Scoops,3.1,100,41,0,0,0,0,0,0,,Guwahati
Delights by INOX,2.6,150,24,0,0,1,1,0,0,,Guwahati
Delights by INOX,2.6,200,35,0,0,1,1,0,0,,Guwahati
Delights by INOX,2.8,350,26,0,0,1,1,0,0,,Guwahati
Delights by INOX,3.1,150,54,0,0,1,1,0,0,,Guwahati
Delights by INOX,3.3,200,28,0,0,1,1,0,0,,Guwahati
Delights by INOX,3.3,200,38,0,0,1,0,0,0,,Guwahati
Delights by INOX,3.4,150,37,0,0,1,1,0,0,,Guwahati
Delights by INOX,3.4,200,39,0,0,1,1,0,0,,Guwahati
Delights by INOX,3.5,100,26,0,0,1,1,0,0,,Guwahati
Delights by INOX,3.5,200,32,0,0,1,1,0,0,,Guwahati
Delights by INOX,3.8,150,25,0,0,1,1,0,0,,Guwahati
Delights by INOX,3.8,200,41,0,0,1,0,0,0,,Guwahati
Delights by INOX,3.9,200,19,0,0,1,1,0,0,,Guwahati
Delights by INOX,3.9,200,31,0,0,1,0,0,0,,Guwahati
Delights by INOX,3.9,350,48,0,0,1,1,0,0,,Guwahati
Delights by INOX,4,100,32,0,0,1,1,0,0,,Guwahati
Delights by INOX,4,200,26,0,0,1,0,0,0,,Guwahati
Delights by INOX,4,200,35,0,0,1,1,0,0,,Guwahati
Delights by INOX,4,250,33,0,0,1,1,0,0,,Guwahati
Delights by INOX,4.3,100,37,0,0,1,1,0,0,,Guwahati
Delights by INOX,4.3,200,31,0,0,1,1,0,0,,Guwahati
Delights by INOX,4.5,200,25,0,0,1,0,0,0,,Guwahati
Delights Cool Point,4.3,250,30,0,0,0,0,0,0,,Guwahati
Delish By Home's Kitchen,4.2,200,42,1,1,0,0,0,0,,Guwahati
Delisha Biryani House,3.6,150,24,0,1,0,0,1,0,,Guwahati
Delisia- A Unit Of Hotel Myriad,4.1,100,36,0,1,0,0,0,0,,Guwahati
Deliure & The Eatrium,4.2,100,31,0,0,1,1,0,1,,Guwahati
Deliver My Diet,4.3,100,34,0,1,0,0,0,0,,Guwahati
Deliver My Ice-Cream,4.5,350,14,0,0,0,0,0,0,,Guwahati
Della Citta Pizza,3.9,200,44,0,1,1,1,0,0,,Guwahati
Delli Belly,4,250,29,0,1,0,1,0,0,,Guwahati
Delly Belly,4,150,37,1,1,1,0,1,0,,Guwahati
Delly Belly,4.1,200,27,0,1,0,0,0,0,,Guwahati
Delta Suites,4.1,300,25,0,1,0,0,1,0,,Guwahati
Delux Bakery,3.8,100,16,0,0,1,0,0,1,,Guwahati
Delux Ice Cream,4.4,200,14,0,0,0,0,0,0,,Guwahati
Deluxe Bakery,3.4,100,31,0,0,1,0,0,1,,Guwahati
Deluxe Dhaba,4.1,150,33,0,1,1,0,0,0,,Guwahati
Deluxe Dosa House,3.7,100,29,1,0,0,0,0,0,,Guwahati
Deluxe Pizza,3.9,150,34,0,0,1,0,0,0,,Guwahati
Deluxe Restaurant,4,150,41,0,1,0,0,0,0,,Guwahati
Deluxe Unique Bakers,3.5,100,21,0,0,1,0,0,1,,Guwahati
Den,3.8,100,28,0,0,1,0,0,0,,Guwahati
Den Snooker by Kaffe Inn,3.6,150,46,0,0,1,1,0,0,,Guwahati
Denmarrk Drive-Inn Restaurant,4.2,150,30,0,1,0,0,1,0,,Guwahati
Den's Pizza,3.5,350,42,0,0,1,0,0,0,,Guwahati
Denzong Delight,3.9,150,44,0,0,0,0,0,0,,Guwahati
Denzong Kitchen,3.8,200,62,0,0,0,0,0,0,,Guwahati
Desert Lotus Restaurant,3.1,100,60,1,1,1,0,0,0,,Guwahati
Desh Pardes - By Shahi Darbar,3.6,100,43,1,1,0,0,0,0,,Guwahati
Deshi & English Pizza Theka,3.4,200,48,0,0,0,0,0,0,,Guwahati
Deshi Tadka Ghar Ka Swad,4,100,41,0,1,0,0,0,0,,Guwahati
Deshi Videshi - Unit Of Marga Rita Cafe,4.3,100,25,0,0,1,1,0,0,,Guwahati
Deshmukh Paratha House,4.1,150,24,0,1,1,0,0,0,,Guwahati
Desi Aa Italiano,3.6,100,31,0,0,1,0,0,0,,Guwahati
Desi Addicts,4.1,250,29,0,1,1,0,1,0,,Guwahati
Desi And Tasty,4.4,100,47,0,1,0,0,0,0,,Guwahati
Desi Baniye,3.5,350,39,1,0,1,0,0,0,,Guwahati
Desi Bite,3.9,100,54,0,0,1,0,0,0,,Guwahati
Desi Bites,3.7,150,50,1,1,0,1,0,0,,Guwahati
Desi Bites,4,100,40,1,0,1,1,0,0,,Guwahati
Desi Bites,4,250,38,1,1,1,0,0,0,,Guwahati
Desi Box,3.9,150,45,0,0,1,0,0,0,,Guwahati
Desi Box,4,250,38,0,1,0,0,0,0,,Guwahati
Desi Cafe,3.6,200,28,0,0,1,0,0,0,,Guwahati
Desi Chatkara,4.3,100,44,1,1,0,1,0,0,,Guwahati
Desi Chatore,4,150,36,0,1,1,1,0,0,,Guwahati
Desi Chinese,2.9,50,26,0,0,0,0,0,0,,Guwahati
Desi Chinese Pure Veg,4.3,100,19,0,0,0,0,0,0,,Guwahati
Desi Chulha,3.3,300,33,0,1,0,0,0,0,,Guwahati
Desi Chulha,3.6,300,42,0,1,0,0,0,0,,Guwahati
Desi Chulha Rabri Wala,3.8,200,31,0,1,0,0,0,0,,Guwahati
Desi Chulhaa,4.1,100,45,0,1,0,0,1,0,,Guwahati
Desi Dhaba - No Onion No Garlic,4,100,54,0,1,0,0,0,0,,Guwahati
Desi Dhaba By Express Kitchen,4.1,150,43,0,1,0,0,0,0,,Guwahati
Desi Eat Verse,3.4,50,18,0,0,1,1,0,0,,Guwahati
Desi Eatery 149,4,200,23,0,1,0,0,0,0,,Guwahati
Desi Express,4.5,350,30,1,1,1,1,0,0,,Guwahati
Desi Firangee,3.2,100,30,0,1,0,0,0,0,,Guwahati
Desi Firangi,3.7,150,30,0,1,0,0,1,0,,Guwahati
Desi Food Adda,3.6,100,30,0,0,1,0,0,0,,Guwahati
Desi Foodie,4,250,55,0,1,0,0,0,0,,Guwahati
Desi Ghee Express,4,150,34,1,1,0,1,0,0,,Guwahati
Desi Grill,3.7,150,27,0,1,0,0,1,0,,Guwahati
Desi Handi,3.4,150,31,0,1,0,0,1,0,,Guwahati
Desi Handi Wala,4.3,50,39,0,1,0,0,0,0,,Guwahati
Desi Hub,4,300,20,0,1,0,0,0,0,,Guwahati
Desi Kitchen,3.6,150,20,1,1,0,0,0,0,,Guwahati
Desi Kitchen,3.9,200,51,0,1,1,0,0,0,,Guwahati
Desi Kitchen,4,350,29,1,0,0,1,0,0,,Guwahati
Desi Kitchen,4.1,550,37,0,1,0,1,0,0,,Guwahati
Desi Kitchen Biryani & Kababs,3.7,150,29,0,0,0,0,1,0,,Guwahati
Desi Kitchen Family Restaurant,4,50,32,0,1,0,1,1,0,,Guwahati
Desi Kitchen Tiffins,4,50,38,1,0,0,0,0,0,,Guwahati
Desi Lane,3.9,400,56,0,1,0,0,1,0,,Guwahati
Desi Licious,4.3,100,45,0,1,0,0,1,0,,Guwahati
Desi Masala,3.8,200,26,0,0,1,0,0,0,,Guwahati
Desi Masala,4,100,59,1,1,1,0,0,0,,Guwahati
Desi Mojo,4,150,24,1,1,0,0,0,0,,Guwahati
Desi Momo,3.7,250,32,0,0,0,0,0,0,,Guwahati
Desi Mood Restaurant,3,250,37,0,1,0,0,0,0,,Guwahati
Desi Oven,3.6,150,43,0,0,1,0,0,0,,Guwahati
Desi Pakwaan,4,150,46,0,1,1,1,0,0,,Guwahati
Desi Palace,3.8,350,32,0,1,0,0,0,0,,Guwahati
Desi Palette,4,100,33,0,1,1,0,0,0,,Guwahati
Desi Paranthe Aur Chai,4.2,100,42,0,1,0,1,0,0,,Guwahati
Desi Pizza Co. & Bakery,4.3,100,26,0,0,1,0,0,1,,Guwahati
Desi Rasoi,4,100,33,0,1,1,0,0,0,,Guwahati
Desi Shakes,4,150,14,0,0,0,0,0,0,,Guwahati
Desi Streat,4.3,100,51,1,0,0,1,0,0,,Guwahati
Desi Street Restaurant And Cafe,4.6,250,41,0,1,1,0,0,0,,Guwahati
Desi Swaad,3.7,50,31,0,1,1,1,0,0,,Guwahati
Desi Swaad,3.8,250,35,1,0,1,1,0,0,,Guwahati
Desi Swaad Family Restaurant,3.6,150,39,0,1,0,0,1,0,,Guwahati
Desi Tadka,2.7,100,24,0,1,0,0,0,0,,Guwahati
Desi Tadka,3.4,200,44,0,1,0,1,1,0,,Guwahati
Desi Tadka,3.5,200,59,0,0,0,0,1,0,,Guwahati
Desi Tadka,3.8,100,27,0,1,1,0,0,0,,Guwahati
Desi Tadka,3.9,100,23,0,1,1,0,1,0,,Guwahati
Desi Tadka,4.1,200,16,0,1,0,0,0,0,,Guwahati
Desi Tadka,4.2,200,39,0,1,0,0,0,0,,Guwahati
Desi Tadka Jain Restaurant,4.2,150,35,0,1,0,0,1,0,,Guwahati
Desi Tadka Restaurant,3.7,450,41,0,1,0,0,0,0,,Guwahati
Desi Thaat,3.9,100,42,0,1,0,0,1,0,,Guwahati
Desi Thad,3.5,200,25,0,0,0,0,0,1,,Guwahati
Desi Thali,3.4,200,40,0,1,0,0,0,0,,Guwahati
Desi Thath Dhaba,4,150,42,0,1,1,1,0,0,,Guwahati
Desi Twist,4.4,200,29,0,0,1,1,0,0,,Guwahati
Desi UP - 53 Restaurant,3.5,100,40,0,1,0,0,1,0,,Guwahati
Desi Urban Chai,4.1,100,15,0,0,1,1,0,0,,Guwahati
Desi Urban Chai,4.4,250,27,0,0,1,1,0,0,,Guwahati
Desi Vibes,3.4,50,33,0,1,0,0,1,0,,Guwahati
Desi Videshi Cafe,3.9,150,41,1,1,1,1,0,0,,Guwahati
Desi Videsi,4,150,27,0,0,1,0,0,0,,Guwahati
Desire Bakers,3.9,50,30,0,0,0,0,0,1,,Guwahati
"Desire Instant Chai, Maza Aajaye !",4.1,50,44,0,0,1,1,0,0,,Guwahati
Dessert Addiction,3.8,250,35,0,0,0,0,0,0,,Guwahati
Dessert Cloud,4.4,150,27,0,0,0,0,0,0,,Guwahati
Dessert Dash,3.9,200,31,0,0,0,0,0,0,,Guwahati
Dessert Forest,4.6,150,36,0,0,1,0,0,1,,Guwahati
Dessert House,3.3,150,40,0,0,1,1,0,0,,Guwahati
Dessert Station,3.7,200,40,0,0,1,1,0,0,,Guwahati
Dessert Villa,3.9,150,26,0,0,0,0,0,0,,Guwahati
Dessert Villa,4.2,250,19,0,0,0,0,0,0,,Guwahati
Dessertino,4,50,28,0,0,0,0,0,0,,Guwahati
Dessertino Shakes,3.9,150,29,0,0,0,0,0,0,,Guwahati
Dessertino Shakes And More,4.3,200,22,0,0,1,0,0,0,,Guwahati
Desserts & More,3.8,100,25,0,0,0,0,0,0,,Guwahati
Desserts & More,4.2,300,18,0,0,1,0,0,1,,Guwahati
Desserts Bar,3.2,50,28,0,0,0,0,0,0,,Guwahati
Dessert's Biryani,3.4,100,28,0,0,1,1,1,0,,Guwahati
Desserts By Pihu,4.5,150,21,0,0,0,0,0,1,,Guwahati
Dessert's King,4.1,100,25,0,0,0,0,0,0,,Guwahati
Dessert's World,4,200,28,0,0,0,0,0,0,,Guwahati
Dessi Chilli,4,50,38,0,0,1,0,0,0,,Guwahati
Dessi Cuppa,3.6,150,36,0,0,0,0,0,0,,Guwahati
Dessi Cuppa,3.6,200,31,0,0,0,0,0,0,,Guwahati
Dessi Cuppa,3.9,100,51,0,0,1,0,0,0,,Guwahati
Dessi Cuppa,4,100,24,0,0,0,0,0,0,,Guwahati
Dessi Cuppa,4,150,32,0,0,1,0,0,0,,Guwahati
Dessi Dumplings,4.2,150,40,0,0,1,0,0,0,,Guwahati
Dessi Kitchen,4.2,250,34,0,1,1,1,0,0,,Guwahati
Destiny Cafe,3.3,200,35,0,0,0,0,0,0,,Guwahati
Destiny Cafe,4,150,29,0,1,1,0,0,0,,Guwahati
Dev Hotel,4.1,100,22,0,1,1,0,1,0,,Guwahati
Dev Raj Hotel,3.4,150,26,0,1,0,0,0,0,,Guwahati
Dev Raj Sohal Sweets Shop,4,450,13,0,0,0,1,0,0,,Guwahati
Dev Uncle Kitchen,4.1,100,40,0,1,0,0,0,0,,Guwahati
Dev Veg Champ,4.4,150,22,0,1,1,0,0,0,,Guwahati
Deva Food Mart,4.3,150,26,1,1,0,0,0,0,,Guwahati
Devanshee City Restaurant,3.7,150,56,1,1,1,0,0,0,,Guwahati
Devbhog Milk Parlour And Pizza Center,4.1,100,32,0,0,0,0,0,0,,Guwahati
Devdhani Faradi Center,4.3,100,27,0,0,0,1,0,0,,Guwahati
Devi Bhojnalya,3.7,200,22,0,1,0,0,0,0,,Guwahati
Devi Chicken Pakodi And Biryani Center,3.5,350,32,1,0,0,0,1,0,,Guwahati
Devi Ji Cafe And Snacks,4.1,100,23,1,1,0,1,0,0,,Guwahati
Devi Uphara,3.8,150,39,1,1,0,1,0,0,,Guwahati
Devil Food,3.3,450,45,0,1,0,0,0,0,,Guwahati
Deviram Food Circle,4,50,34,1,0,0,1,0,0,,Guwahati
Deviram Royal Restaurant,3.5,200,30,0,1,1,0,0,0,,Guwahati
Deviram Sweets,4.2,300,24,1,1,0,1,0,0,,Guwahati
Deviram Sweets & Food Plaza,4.3,100,29,1,1,1,0,1,0,,Guwahati
Deviram Sweets & Restaurant,4.2,300,15,0,1,1,0,0,0,,Guwahati
Devi's Coffee Bar,4.2,100,28,0,0,1,1,0,0,,Guwahati
Devki Restaurant,3,200,31,0,1,1,0,0,0,,Guwahati
Dev's Bakery,3.9,200,27,0,0,0,0,0,1,,Guwahati
Dexter's,3.9,100,49,0,1,0,1,0,0,,Guwahati
Deys Cafe,3.4,400,64,0,0,0,1,0,0,,Guwahati
DFC,3.1,250,31,0,0,0,1,0,0,,Guwahati
DFC Dada's Biryani,4.1,100,34,0,1,0,0,1,0,,Guwahati
DFC Momos & Stuffs,4.1,100,41,0,0,1,0,0,0,,Guwahati
Dhaba - Estd 1986 Delhi,4,100,34,0,1,1,0,0,0,,Guwahati
Dhaba - Estd 1986 Delhi,4,150,45,0,1,0,0,0,0,,Guwahati
Dhaba - Estd 1986 Delhi,4.1,100,49,0,1,0,0,1,0,,Guwahati
Dhaba - Estd 1986 Delhi,4.3,150,48,0,1,0,0,0,0,,Guwahati
Dhaba - The Claridges,4,10,30,0,1,0,0,0,0,,Guwahati
Dhaba 7,4.1,350,32,0,1,0,1,0,0,,Guwahati
Dhaba Bro,4.1,250,27,0,0,0,0,1,0,,Guwahati
Dhaba By Amber,4.2,200,35,0,1,0,0,0,0,,Guwahati
Dhaba By Amigos,4.1,150,37,0,1,0,0,1,0,,Guwahati
Dhaba Cafe,3.6,150,37,0,0,1,1,0,0,,Guwahati
Dhaba Cafe,4,250,42,0,1,1,0,1,0,,Guwahati
Dhaba Cafe,4,250,45,1,1,1,1,0,0,,Guwahati
Dhaba Curry,3.7,150,33,0,1,0,0,1,0,,Guwahati
Dhaba Delight,4.5,100,37,1,1,1,0,0,0,,Guwahati
Dhaba Express,4,200,33,0,1,1,0,0,0,,Guwahati
Dhaba Global,4,100,75,0,1,0,0,0,0,,Guwahati
Dhaba Junction,4,100,45,0,1,0,0,0,0,,Guwahati
Dhaba Junction,4,150,38,0,1,0,0,0,0,,Guwahati
Dhaba Junction,4.1,250,36,0,1,0,0,1,0,,Guwahati
Dhaba Mitran Da,3.6,150,37,0,1,0,0,0,0,,Guwahati
Dhaba Santa Banta Da,4,150,21,0,1,0,0,0,0,,Guwahati
Dhaba Senchuri,3.9,150,32,0,1,0,1,0,0,,Guwahati
Dhaba Shaba Veg Bistro,4.4,50,40,0,1,0,0,0,0,,Guwahati
Dhaba Singh,3.3,100,21,0,1,0,0,0,0,,Guwahati
Dhaba Station,4.1,100,41,0,1,0,0,0,0,,Guwahati
Dhading KTM,4.3,150,47,0,0,1,0,0,0,,Guwahati
Dhading KTM,4.3,300,41,0,0,1,0,0,0,,Guwahati
Dhairyam Restaurant,4,100,27,1,1,1,0,0,0,,Guwahati
Dhakad And Krishna Restaurant,3.8,200,35,0,1,0,0,0,0,,Guwahati
Dhakka Mukki,3.2,100,34,0,0,1,1,0,0,,Guwahati
Dhakka Mukki Eatery,3.4,50,24,0,0,1,1,0,0,,Guwahati
Dhakka Mukki Eatery,3.4,200,47,0,0,1,1,0,0,,Guwahati
Dhakka Mukki Eatery,3.5,200,35,0,0,1,1,0,0,,Guwahati
Dhakka Mukki Eatery,3.9,150,27,0,0,1,1,0,0,,Guwahati
Dhakka Mukki Eatery,4,100,26,0,0,1,0,0,0,,Guwahati
Dhakka Mukki Eatery- Worth Waiting,3.7,350,29,0,0,1,0,0,0,,Guwahati
Dhamaka Chicken,3.1,200,34,0,1,0,0,0,0,,Guwahati
Dhamal Pizza Point,3.9,100,33,0,0,1,0,0,0,,Guwahati
Dhamija's Kitchen,4.5,250,42,0,1,0,1,0,0,,Guwahati
Dhan Guru Ramdass Sweet Shop,4.3,200,15,0,0,1,1,0,0,,Guwahati
Dhanapakkiyam Unavagam,4.1,150,25,1,0,0,0,0,0,,Guwahati
Dhanbad Rasoi,3.6,200,17,0,1,0,0,1,0,,Guwahati
Dhani Kitchen,4.1,200,36,0,1,0,0,0,0,,Guwahati
Dhanlaxmi Idli Corner,4.1,100,35,1,0,0,0,0,0,,Guwahati
Dhanlucky Rice Bowls,4.1,200,25,1,1,1,1,0,0,,Guwahati
Dhanna Kachori,4.4,150,34,0,0,0,1,0,0,,Guwahati
Dhanna Kachori Vaishali,4.1,150,25,0,0,0,1,0,0,,Guwahati
Dhanna Kachori Wala,4,250,26,0,1,0,1,0,0,,Guwahati
Dhanyavad Foods,4.4,150,33,0,0,0,0,1,0,,Guwahati
Dharani Home Mades,3.7,400,43,0,0,0,1,0,0,,Guwahati
Dharmnandan Live Puff House,4.5,200,41,0,0,1,0,0,0,,Guwahati
Dharmnandan Puff House,3.8,100,17,0,0,1,0,0,0,,Guwahati
Dharmnandan Puff House,4.4,100,14,0,0,1,0,0,0,,Guwahati
Dhatri Food Court,3.5,400,25,1,1,0,0,1,0,,Guwahati
Dhauladhar Heights,4,200,43,0,1,0,0,0,0,,Guwahati
Dheen Biriyani Stall,3.9,250,32,1,1,0,0,0,0,,Guwahati
D'Hide In Cafe,4.1,150,37,0,0,1,0,0,0,,Guwahati
Dhinchak Dosa,3.8,300,19,0,0,1,0,0,0,,Guwahati
Dhindhora Fine Dine Restaurant,4.4,150,31,1,1,0,0,0,0,,Guwahati
Dhingra Fast Food,4.1,150,20,0,0,1,0,0,0,,Guwahati
Dhiraj Canteen,4.2,200,63,1,0,0,1,0,0,,Guwahati
Dhiraj Saoji Restaurant,3.6,150,24,0,1,0,0,0,0,,Guwahati
Dhirajlal D. Mithaiwala,4.4,100,28,0,0,0,1,0,0,,Guwahati
Dhiya Chat House,4.3,200,27,0,0,0,0,0,0,,Guwahati
Dhodha Sweets,3.8,200,15,0,0,0,1,0,0,,Guwahati
Dhodha Sweets Bakers,3.6,150,30,0,0,1,0,0,0,,Guwahati
Dhokla House Sweets And Namkeen,4.1,150,29,0,0,0,1,0,0,,Guwahati
Dhong Family Restaurant,4,200,46,0,1,0,0,1,0,,Guwahati
Dhorajiwala Sweets and Namkeen,4.2,100,18,0,0,0,1,0,0,,Guwahati
Dhruv Food Products,4,100,27,0,0,0,0,0,0,,Guwahati
Dhuaan,4.1,150,38,0,1,0,0,1,0,,Guwahati
Dhun Cafe And Restro,3.9,200,38,0,1,1,0,0,0,,Guwahati
Dhungaar The Indian Kitchen,4.4,100,28,0,1,0,0,1,0,,Guwahati
Dhyana Prakruthi Millets Kitchen,4.1,250,40,1,1,0,0,0,0,,Guwahati
Di Di Foods,4.4,300,35,0,1,1,0,0,0,,Guwahati
Dial Food,3.9,150,34,0,1,1,0,0,0,,Guwahati
Diamond Cake Bakery,4,150,39,0,0,0,0,0,1,,Guwahati
Diamond City Restaurant,4,200,34,0,1,0,0,0,0,,Guwahati
Diamond Crust Pizza And Burger,4,150,42,0,0,1,0,0,0,,Guwahati
Diamond Fisheries,4,300,31,0,0,0,0,0,0,,Guwahati
Diamond Food Lounge,3.6,150,57,0,0,1,0,0,0,,Guwahati
Diamond Foods,3.2,200,36,0,1,0,0,0,0,,Guwahati
Diamond Hotel,4.1,200,44,0,0,0,0,0,0,,Guwahati
Diamond Hotel & Restaurant,3.8,150,46,0,1,0,0,1,0,,Guwahati
Diamond Pizza,4.1,150,32,0,0,0,0,0,0,,Guwahati
Diamond Pizza Coffee,3.9,150,38,0,0,1,0,0,0,,Guwahati
Diamond Restaurant,4,100,50,0,1,1,1,0,0,,Guwahati
Diamond's Pizza,3.7,150,35,0,0,1,0,0,0,,Guwahati
Dibba The Homemade Goodness,4.1,200,47,0,1,0,0,1,0,,Guwahati
Dibiya Jee Chat Wale,4,200,28,0,0,0,1,0,0,,Guwahati
Dices Pizza,3.3,250,46,0,0,1,0,0,0,,Guwahati
Didi Homed Tiffin Services,3.9,200,36,0,1,0,0,0,0,,Guwahati
Didi Ko Momo,4.5,100,19,0,0,0,1,0,0,,Guwahati
Didi's Cakes,4,200,30,0,0,0,0,0,1,,Guwahati
Diesel Cafe,4.2,300,31,0,0,0,0,0,0,,Guwahati
Diet Cart,4.3,200,46,0,1,0,0,0,0,,Guwahati
Diet Dessert Co.,4,250,26,0,0,0,0,0,0,,Guwahati
Diet Dial,4,150,34,1,1,1,0,0,0,,Guwahati
Diet Engineers,4.1,300,33,0,0,1,0,0,0,,Guwahati
Diet Master,4.6,100,35,0,0,1,0,0,0,,Guwahati
Diet N Protein,3.7,200,36,0,1,0,0,0,0,,Guwahati
Diet O Bar,3.9,100,34,0,1,0,0,0,0,,Guwahati
Diet4Fit,4.2,150,46,0,0,1,0,1,0,,Guwahati
Dieto,3.5,150,66,0,1,0,0,1,0,,Guwahati
Diggin,4.3,250,28,0,0,0,0,0,0,,Guwahati
Dikshani Pure Veg Restaurant,3.1,100,35,1,1,0,1,0,0,,Guwahati
Dil - E - Mughlai,4.1,350,41,0,1,0,0,1,0,,Guwahati
Dil Dosti Chai,3.7,50,48,0,0,1,1,0,0,,Guwahati
Dil Ka Dabba,3.9,50,29,0,0,0,0,0,1,,Guwahati
Dil Ka Dabba,3.9,400,49,1,1,1,1,1,0,,Guwahati
Dil Mass,3.3,100,41,0,0,0,0,1,0,,Guwahati
Dil Punjabi,3.7,300,49,0,1,0,0,0,0,,Guwahati
Dil Punjabi Family Dhaba,4.4,150,35,0,1,0,0,0,0,,Guwahati
